id,revenue
3001,12124538.410783801
3002,17501968.811379794
3003,7514708.430056704
3004,5204620.548868578
3005,1577274.5467496861
3006,1608412.7772689352
3007,503890.4545586499
3008,39934294.01259262
3009,8393030.904607734
3010,549609367.9427218
3011,588446.1802859242
3012,87173.12456136546
3013,23627923.864543177
3014,603510.2784793603
3015,47907426.50502249
3016,41740.50862544248
3017,85744612.1920922
3018,101504042.63379677
3019,5052918.354925522
3020,451726185.9598797
3021,24917953.223406747
3022,72509381.21296762
3023,246967.61753204293
3024,13465279.573843883
3025,332072.38409185887
3026,128627019.63284187
3027,2625689.41259243
3028,41013359.27501982
3029,158732.04047514088
3030,19443452.887816105
3031,7379656.574143023
3032,10764183.152319483
3033,1814.061752240648
3034,363297.5528183424
3035,60676.25862324616
3036,7243969.640630479
3037,73246993.56939623
3038,14801978.8652232
3039,2113534.844854972
3040,606557.7521667622
3041,16116927.936860673
3042,2068971.651306056
3043,3250583.858512376
3044,1600177.4747631205
3045,787640186.7220404
3046,1067695.991242872
3047,2928783.7959955838
3048,4987992.307875647
3049,196191366.1329574
3050,25068725.662038676
3051,1070.0591865439624
3052,24619388.35410697
3053,108976.02471822964
3054,75377.84442050829
3055,58596940.06204875
3056,14067.161375669963
3057,65452521.558156684
3058,277105315.7392964
3059,99604.62822319019
3060,80744527.94363864
3061,59381264.780152224
3062,11756012.673476024
3063,38416948.130193464
3064,87142203.9374377
3065,44400556.614495434
3066,115214820.05525525
3067,126553.11208707979
3068,53017676.26531712
3069,182540650.35742417
3070,1423566.156360167
3071,4085458.987127423
3072,296101118.1817329
3073,5009709.038876069
3074,231461.22697779466
3075,35124179.308312826
3076,228429714.50550082
3077,2402386.4067958826
3078,90361253.36267352
3079,16950751.447461344
3080,157717292.8103596
3081,14957232.45511703
3082,7442760.119421949
3083,2773209.753208533
3084,821.0850175779465
3085,20008587.987746667
3086,9963230.634195948
3087,150184.06631923185
3088,162493.53255958567
3089,2053.908678528528
3090,10646255.227386495
3091,32572438.88109165
3092,852679.5642042485
3093,104552442.66488332
3094,108502330.06798571
3095,106449839.52318141
3096,2243064.7084743427
3097,510362364.3133364
3098,26262972.238672283
3099,55031593.635571115
3100,6196217.156722256
3101,29564240.116609674
3102,458594.51561086345
3103,2033346.1160101765
3104,2683729.7182941013
3105,71585232.53605503
3106,106300964.59712094
3107,30888616.588364772
3108,1514211.6691876755
3109,5612572.377946006
3110,174904505.99229982
3111,6047110.281400414
3112,209027.53553273377
3113,3641805.4047776675
3114,24110032.2213696
3115,8395393.394733585
3116,10962315.492468225
3117,121652.9819146694
3118,2242539.752855214
3119,231704626.8747654
3120,54470825.96225854
3121,109605.55042712142
3122,2604126.0198309394
3123,4483852.882008838
3124,664487.3533936632
3125,1935699.2095891223
3126,31020194.0526999
3127,11516113.253880044
3128,22128223.57770363
3129,344612680.71326715
3130,22307559.610585947
3131,968000.1846983279
3132,9773152.190561742
3133,294897.1604313573
3134,15517526.862401336
3135,928473.9677699946
3136,2237704.2671128227
3137,60020093.15109541
3138,525724.0917604935
3139,47023327.586202584
3140,90093131.89144985
3141,4736385.020574792
3142,461145.9406610673
3143,102881844.0237699
3144,7236692.246990014
3145,6266375.762747146
3146,1164143.957740638
3147,7301506.419800006
