id,revenue
3001,2271256.532208646
3002,2457973.441732579
3003,8084831.670599538
3004,6612672.492372641
3005,957803.2384753368
3006,1876100.9203673813
3007,1567407.4334021483
3008,45122902.407544434
3009,22027746.49678777
3010,470543527.9814032
3011,555820.9237810969
3012,123891.96464705217
3013,27983540.06196558
3014,255500.02537087278
3015,30072099.12719277
3016,51584.38256491476
3017,100675457.25044858
3018,83683821.51809466
3019,14602355.108288748
3020,494712347.29035544
3021,33655259.833658256
3022,55263466.69957968
3023,185965.1849901059
3024,18594429.974420935
3025,748809.3123995094
3026,79199679.55315283
3027,3859992.9657448386
3028,54181056.29845503
3029,252767.005707125
3030,30009612.86696397
3031,8531575.776414314
3032,5168786.863563042
3033,40260.54411542724
3034,191586.97848058678
3035,251720.98859167792
3036,5592410.74568394
3037,77953369.10693853
3038,7803409.059404873
3039,10358849.203643616
3040,1171870.6832992604
3041,15641766.889414076
3042,1563731.8368835493
3043,6994920.419272404
3044,2463445.0201862995
3045,628626860.2647785
3046,826619.7182551294
3047,1512737.6272594694
3048,22062767.90436134
3049,52075424.37285105
3050,51006858.44159993
3051,17791.098548053465
3052,16141079.757046577
3053,97165.29220617909
3054,189024.2355260872
3055,67429298.27716732
3056,76624.53423194047
3057,49341410.16919762
3058,152775140.36714935
3059,171396.66177921675
3060,85824288.86117637
3061,56627785.451830216
3062,6551378.870810904
3063,33039370.270350758
3064,25301262.826765433
3065,28409057.453614756
3066,110195595.39727244
3067,677991.3789213989
3068,69703498.07777551
3069,179436994.85980377
3070,653527.955706612
3071,4152296.589439997
3072,313128146.41643906
3073,1487206.0609051802
3074,765537.9600623362
3075,42515277.13961516
3076,237581259.94385526
3077,5327145.877874702
3078,111902897.33383748
3079,17514907.284235146
3080,125467282.20658858
3081,12976836.996922575
3082,6213655.281006385
3083,5009959.220966658
3084,9045.226724863676
3085,7861747.211199539
3086,54824321.45920493
3087,113441.73014477844
3088,188997.0513205495
3089,22171.68914284736
3090,23357244.11569695
3091,19626978.54024412
3092,1076515.1719634219
3093,149658400.2219622
3094,96754926.56209025
3095,97364641.07899371
3096,2001885.729087319
3097,650392180.2154131
3098,29849731.578904487
3099,59695963.52106462
3100,4935166.622267903
3101,15388347.652795367
3102,332119.9873483425
3103,1078897.662838374
3104,1215881.5312936597
3105,68986327.03714032
3106,58384718.140663296
3107,30077418.065435547
3108,2956503.0305385636
3109,4331047.295125717
3110,266150324.00241694
3111,3047010.605104654
3112,199664.24469152262
3113,4647881.947317328
3114,20473635.951626927
3115,14483502.242641449
3116,6051373.7040201295
3117,118198.94508765652
3118,1117361.5303965993
3119,166040702.66219163
3120,77539589.93728933
3121,187773.82037123793
3122,7081010.895149509
3123,4630801.216825736
3124,325741.63780610077
3125,535091.6948066574
3126,42073927.47226772
3127,12784685.430145444
3128,17720087.186626673
3129,269864298.6057975
3130,10262859.108163174
3131,1198027.4857585202
3132,7837910.97588019
3133,229155.29453435203
3134,11957398.10782532
3135,1597400.0479004476
3136,2448452.505738742
3137,98313699.66331759
3138,640328.6483865952
3139,26092801.013410345
3140,72696179.26946828
3141,4959647.252762851
3142,960077.5301789169
3143,126172234.72721294
3144,8693588.291488422
3145,5818134.471566539
3146,952267.6127437882
3147,9067612.462270828
3148,2184143.315246385
3149,58665929.25442673
3150,80881311.69479772
3151,7108516.561685918
3152,8249527.528496996
3153,1032798.5571452414
3154,7711945.042776809
3155,29528417.737918686
3156,4503480.510103459
3157,17909665.13563377
3158,115626695.06809042
3159,8390566.153500471
3160,19094759.184551686
3161,410370.55875184113
3162,2655998.6538041425
3163,116856997.04245345
3164,1418905.6067175346
3165,81888.49754249559
3166,486665.732057259
3167,63828757.527866535
3168,437780.03061336506
3169,27990623.283547297
3170,7765118.042053701
3171,23037420.140056867
3172,23795992.095112864
3173,1082622.398003228
3174,254787.13030797776
3175,7241484.612769372
3176,29575366.148417823
3177,88290448.04904902
3178,1142498.0125699819
3179,6803432.499251305
3180,470598.0841263815
3181,212647.2543831633
3182,117535934.00577968
3183,27864276.10847654
